case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
rust-book-appendix-02-operators,22595,reference,gfm,fresh,bun,no,106477.484375,105657.76953125,106908.20442708333,0.4761782824097642
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,v2,no,13613.25621639785,13485.10315860215,13699.156580342213,1.0
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,ox-content,no,13711.411854619566,13516.5,13769.681490384615,0.992841317928274
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,v1,no,16569.130345394737,16408.752637987014,16679.74913377193,0.8216035442186952
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,md4c,no,24453.074183399323,24452.724459134617,24531.262867647056,0.5567093983479428
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,pulldown-cmark,no,26162.202659970237,25939.360012755104,26177.732607886905,0.520340599502616
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,bun,no,59966.64211309524,59551.40178571428,60514.13690476191,0.2270138152929035
rust-book-ch17-00-async-await,9734,technical-docs,gfm,fresh,v2,no,7166.575414975649,7156.026875,7190.200892857143,1.0
rust-book-ch17-00-async-await,9734,technical-docs,gfm,fresh,ox-content,no,7152.057410714286,7148.701696428571,7207.388097655472,1.0020299060015394
rust-book-ch17-00-async-await,9734,technical-docs,gfm,fresh,v1,no,11527.027236238533,11408.830397727274,11558.078301241583,0.6217193095931494
rust-book-ch17-00-async-await,9734,technical-docs,gfm,fresh,md4c,no,18322.43546195652,18130.08582427536,18398.648207720587,0.3911366166280595
rust-book-ch17-00-async-await,9734,technical-docs,gfm,fresh,pulldown-cmark,no,18373.24293678069,18273.38088768116,18438.089837089727,0.39005500768887985
rust-book-ch17-00-async-await,9734,technical-docs,gfm,fresh,bun,no,50168.619375,49715.29507211538,50609.791249999995,0.1428497635425641
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,v2,no,6219.512685258731,6121.338338414635,6237.24096302599,1.0
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,ox-content,no,6514.6601655265,6500.8205918774165,6521.026611328125,0.9546948769746125
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,v1,no,6873.464756725515,6810.065641983696,6923.35762839591,0.9048584528164041
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,md4c,no,13059.461751302082,13010.571037371134,13098.334309895832,0.4762457139275759
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,pulldown-cmark,no,11693.366754824334,11602.436487268518,11721.432790595794,0.5318838291540583
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,bun,no,32237.47258613782,31977.783203125,32314.03565705128,0.19292804883014106
vue-docs-suspense,8291,technical-docs,gfm,fresh,v2,no,9931.144717261905,9851.911569189837,9948.779513888889,1.0
vue-docs-suspense,8291,technical-docs,gfm,fresh,ox-content,no,10028.0885,9946.05146329365,10111.73252721774,0.9903327755097
vue-docs-suspense,8291,technical-docs,gfm,fresh,v1,no,15078.376532917384,14899.604389880951,15103.627306099397,0.6586348799276479
vue-docs-suspense,8291,technical-docs,gfm,fresh,md4c,no,22797.11004971591,22462.948939732145,22828.953480113636,0.43563173997072774
