case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
vite-docs-performance,technical-docs,2–10 KiB,8184,gfm,serialization-equivalent,owned,13.282574152542372,10.502522739955356,1.269325821203527,1.2551681840906437,1.2793137043653457,v2
vite-docs-performance,technical-docs,2–10 KiB,8184,gfm,serialization-equivalent,reuse,13.026171875,10.523922225336323,1.2475710377930482,1.2183430239351734,1.2516575395780984,v2
vite-docs-api-plugin,reference,10–50 KiB,31890,gfm,heading-id-only,fresh,82.72948168103447,85.25218638392856,0.9806244642438194,0.9392221203428054,0.9920647098321863,close/variable
vite-docs-api-plugin,reference,10–50 KiB,31890,gfm,heading-id-only,owned,80.26245625,81.66989870689655,0.9628514477598217,0.9145291307480724,1.0312428321661224,close/variable
vite-docs-api-plugin,reference,10–50 KiB,31890,gfm,heading-id-only,reuse,78.80776979166667,82.07803556034483,0.9596112110104585,0.9358294204597497,1.0102111287624198,close/variable
vite-docs-features,technical-docs,10–50 KiB,39739,gfm,different,fresh,113.49534970238095,84.27715736607144,1.3441652985610475,1.2858990843980713,1.4239982478789144,v2
vite-docs-features,technical-docs,10–50 KiB,39739,gfm,different,owned,109.32273863636364,81.04624676724137,1.3325182757469416,1.2354682969384991,1.435639454099126,v2
vite-docs-features,technical-docs,10–50 KiB,39739,gfm,different,reuse,109.30670028409091,82.38128556034482,1.3389336707324102,1.233677870299757,1.382184718552471,v2
typescript-handbook-the-handbook,technical-docs,2–10 KiB,5337,gfm,heading-id-only,fresh,7.530924479166667,7.022377151946108,1.0734110293129309,1.063752814433322,1.0843039700857051,v2
typescript-handbook-the-handbook,technical-docs,2–10 KiB,5337,gfm,heading-id-only,owned,6.425574315068493,6.391426856267031,1.0041156873765356,0.9979614651602358,1.0140313356793924,close/variable
typescript-handbook-the-handbook,technical-docs,2–10 KiB,5337,gfm,heading-id-only,reuse,6.226742125331565,6.376712550951087,0.9792925457643162,0.9741522801579388,0.986994793557519,close/variable
typescript-handbook-advanced-types,reference,10–50 KiB,36745,gfm,heading-id-only,fresh,74.5812578125,68.03337053571428,1.0898485166579133,1.027719966341479,1.1446228176006437,close/variable
typescript-handbook-advanced-types,reference,10–50 KiB,36745,gfm,heading-id-only,owned,69.80108823529412,64.51059206081081,1.0910928374574995,1.0223638263725345,1.1238937011579602,close/variable
typescript-handbook-advanced-types,reference,10–50 KiB,36745,gfm,heading-id-only,reuse,67.48850446428571,65.3310546875,1.0293544187079458,0.986601445293842,1.073804349486281,close/variable
typescript-handbook-compiler-options,reference,50–256 KiB,54026,gfm,heading-id-only,fresh,80.84581465517242,81.77792780172415,0.9886018981941962,0.9761974552155215,1.0174768369767144,close/variable
typescript-handbook-compiler-options,reference,50–256 KiB,54026,gfm,heading-id-only,owned,79.73637083333334,81.06416163793102,0.9855473345164004,0.9710481413466336,0.9924739311191191,close/variable
typescript-handbook-compiler-options,reference,50–256 KiB,54026,gfm,heading-id-only,reuse,78.4594625,80.97880711206898,0.9741700687113699,0.9617348882859721,0.9881470167364412,close/variable
typescript-handbook-typescript-5-0,technical-docs,10–50 KiB,50714,gfm,heading-id-only,fresh,112.45901636904762,84.33663504464286,1.34076331907304,1.3151411494046104,1.3835616621154536,v2
typescript-handbook-typescript-5-0,technical-docs,10–50 KiB,50714,gfm,heading-id-only,owned,111.58984375,83.43821875,1.3373948464114354,1.2574842544139773,1.4046985923791089,v2
typescript-handbook-typescript-5-0,technical-docs,10–50 KiB,50714,gfm,heading-id-only,reuse,105.88824728260869,81.07897844827586,1.2811735903922452,1.1869116880695316,1.315062887709107,v2
wiki-rainbow-first-paragraph,encyclopedia,512 B–2 KiB,859,commonmark,exact,fresh,2.7061391652249136,1.8945680533117932,1.4318062651407812,1.4159066210858533,1.4485981308411213,v2
wiki-rainbow-first-paragraph,encyclopedia,512 B–2 KiB,859,commonmark,exact,owned,1.8564842389152811,1.5477937706270628,1.1985050638534898,1.1895581776230328,1.2193319861208152,v2
wiki-rainbow-first-paragraph,encyclopedia,512 B–2 KiB,859,commonmark,exact,reuse,1.7807368783219437,1.5172085558252426,1.1721897347568562,1.1630886272340615,1.1793990547934312,v2
wiki-rainbow-lead,encyclopedia,512 B–2 KiB,1859,commonmark,serialization-equivalent,fresh,3.7734396101286176,2.7480873388042206,1.3700460817312947,1.3583520147187798,1.3788665117131007,v2
wiki-rainbow-lead,encyclopedia,512 B–2 KiB,1859,commonmark,serialization-equivalent,owned,2.8742021675857847,2.398750383435583,1.197175428914567,1.1878592552007334,1.2026068461662418,v2
wiki-rainbow-lead,encyclopedia,512 B–2 KiB,1859,commonmark,serialization-equivalent,reuse,2.773690199704142,2.380089371827411,1.1670483109148577,1.1551071004316673,1.1826475756337511,v2
wiki-rainbow-article-body,encyclopedia,10–50 KiB,48422,commonmark,different,fresh,75.2089443359375,52.86903958333333,1.4258302604981992,1.3614257662808604,1.5105219921344535,v2
wiki-rainbow-article-body,encyclopedia,10–50 KiB,48422,commonmark,different,owned,69.4233299632353,51.167402853260874,1.3488342636186537,1.319964134213207,1.3765365669448828,v2
wiki-rainbow-article-body,encyclopedia,10–50 KiB,48422,commonmark,different,reuse,66.21339670138889,51.360110733695656,1.2957497765395931,1.2296917153783982,1.357904720233078,v2
wiki-rainbow-plain-prose,plain-prose,10–50 KiB,38800,commonmark,serialization-equivalent,fresh,13.596828395953757,9.44937562751004,1.4426500960404849,1.430795449799804,1.4499800272543122,v2
wiki-rainbow-plain-prose,plain-prose,10–50 KiB,38800,commonmark,serialization-equivalent,owned,13.000604281767956,9.014623437500001,1.4371137902902202,1.4201656154629134,1.4558480102607352,v2
wiki-rainbow-plain-prose,plain-prose,10–50 KiB,38800,commonmark,serialization-equivalent,reuse,11.097908166273584,8.945109553231939,1.2414488307565266,1.2253861425267265,1.2487037302557051,v2
wiki-tea-first-paragraph,encyclopedia,512 B–2 KiB,1126,commonmark,exact,fresh,6.244583859707447,3.2873129821178124,1.8971735834512016,1.8767339685598579,1.9121412944690093,v2
wiki-tea-first-paragraph,encyclopedia,512 B–2 KiB,1126,commonmark,exact,owned,5.095802173913044,2.9305338671875,1.7434314151860646,1.7194197018001345,1.7537620235376579,v2
wiki-tea-first-paragraph,encyclopedia,512 B–2 KiB,1126,commonmark,exact,reuse,5.001715751599147,2.8933672549321825,1.722725294894735,1.7064672478753076,1.7377913967410465,v2
wiki-tea-lead,encyclopedia,2–10 KiB,6363,commonmark,exact,fresh,40.37310222457627,14.780750589622642,2.7370500245331026,2.6570403537997738,2.7732412848656094,v2
wiki-tea-lead,encyclopedia,2–10 KiB,6363,commonmark,exact,owned,38.234206653225804,14.0843001497006,2.7151219723225206,2.69888858389721,2.7500530909671426,v2
wiki-tea-lead,encyclopedia,2–10 KiB,6363,commonmark,exact,reuse,38.050025201612904,14.11088753742515,2.695595597678285,2.6575845579744786,2.7249933643681397,v2
